STATE,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,4.0,4.0,4.0,4.0,4.0,6.0,6.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,6.0,7.0,7,10
AL,4.0,5.0,6.0,5.0,5.0,5.0,8.0,8.0,9.0,10.0,11.0,12.0,16.0,18.0,21.0,25.0,29.0,33.0,37,42
AR,11.0,11.0,10.0,10.0,10.0,8.0,8.0,11.0,13.0,13.0,13.0,13.0,17.0,20.0,25.0,29.0,30.0,30.0,34,36
AZ,12.0,10.0,11.0,13.0,13.0,19.0,21.0,27.0,33.0,38.0,44.0,45.0,52.0,58.0,66.0,71.0,75.0,87.0,94,111
CA,1364.0,1450.0,1562.0,1704.0,1869.0,2059.0,2275.0,2447.0,2687.0,2843.0,2972.0,3021.0,3540.0,3754.0,4061.0,4285.0,4416.0,4653.0,4836,5217
CO,31.0,34.0,40.0,45.0,52.0,60.0,66.0,70.0,82.0,95.0,99.0,101.0,108.0,125.0,142.0,156.0,160.0,169.0,187,209
CT,16.0,18.0,19.0,19.0,18.0,24.0,27.0,30.0,34.0,35.0,38.0,38.0,43.0,48.0,52.0,53.0,59.0,64.0,69,72
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,8.0,8,10
FL,15.0,17.0,22.0,23.0,31.0,37.0,47.0,56.0,60.0,55.0,60.0,62.0,67.0,72.0,77.0,87.0,90.0,110.0,119,151
GA,11.0,13.0,14.0,14.0,17.0,23.0,24.0,24.0,26.0,28.0,30.0,32.0,41.0,44.0,49.0,59.0,68.0,75.0,84,92
HI,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,10.0,9.0,9.0,9.0,8.0,10.0,11,14
IA,14.0,17.0,18.0,20.0,25.0,37.0,50.0,66.0,67.0,76.0,80.0,83.0,101.0,107.0,114.0,120.0,126.0,135.0,137,150
ID,23.0,24.0,24.0,24.0,27.0,30.0,37.0,37.0,39.0,43.0,48.0,47.0,53.0,59.0,65.0,67.0,63.0,71.0,77,87
IL,27.0,30.0,37.0,42.0,55.0,68.0,83.0,91.0,99.0,106.0,112.0,112.0,129.0,132.0,138.0,148.0,138.0,148.0,158,172
IN,25.0,29.0,31.0,32.0,34.0,40.0,41.0,39.0,46.0,50.0,56.0,58.0,73.0,78.0,92.0,102.0,110.0,116.0,129,135
KS,8.0,9.0,10.0,10.0,11.0,12.0,14.0,19.0,22.0,21.0,23.0,23.0,30.0,33.0,38.0,42.0,41.0,50.0,52,58
KY,16.0,15.0,16.0,22.0,26.0,33.0,41.0,46.0,50.0,47.0,56.0,60.0,77.0,83.0,86.0,92.0,95.0,100.0,106,111
LA,6.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,8.0,10.0,10.0,12.0,12.0,12.0,12.0,14.0,14.0,15,17
MA,29.0,33.0,32.0,31.0,36.0,34.0,37.0,38.0,42.0,43.0,46.0,45.0,54.0,57.0,68.0,82.0,91.0,97.0,107,121
MD,14.0,14.0,15.0,15.0,15.0,19.0,24.0,33.0,39.0,42.0,43.0,48.0,62.0,72.0,82.0,92.0,101.0,114.0,128,143
ME,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,15.0,21.0,23.0,24.0,28.0,31.0,36.0,43.0,48.0,52.0,55,60
MI,56.0,65.0,82.0,80.0,91.0,101.0,109.0,125.0,136.0,153.0,159.0,161.0,193.0,219.0,254.0,284.0,334.0,387.0,456,503
MN,14.0,15.0,15.0,16.0,18.0,23.0,25.0,28.0,31.0,39.0,42.0,44.0,56.0,65.0,71.0,90.0,96.0,100.0,106,119
MO,48.0,53.0,64.0,62.0,68.0,76.0,89.0,100.0,101.0,108.0,114.0,122.0,159.0,171.0,193.0,211.0,205.0,221.0,235,265
MS,5.0,5.0,5.0,6.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,7.0,8.0,9,10
