GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,% Change 2008 to 2017,% Change 1998 to 2017
00000,United States*,-0.01,0.02,-0.02,0.02,-0.09,0.05,0.03,0.0,0.15,0.01,-0.07,0.03,-0.09,-0.04,-0.04,0.03,0.0,0.05,-0.05,0.06,-1.857142857142857,-7.0
01000,Alabama,0.02,0.05,-0.03,0.17,-0.06,0.03,0.04,0.01,0.01,0.13,-0.07,-0.03,-0.23,-0.04,0.0,0.1,-0.03,-0.03,-0.02,0.03,-1.4285714285714284,0.5
02000,Alaska,0.0,-0.21,-0.36,0.0,-0.14,0.1,0.22,0.11,0.32,0.09,-0.18,0.15,-0.35,-0.11,-0.01,0.22,-0.03,0.39,-0.26,0.01,-1.0555555555555556,inf
04000,Arizona,-0.02,0.09,0.04,-0.04,0.03,0.03,-0.06,-0.02,0.12,0.1,0.0,-0.06,-0.04,0.02,-0.04,-0.01,0.06,0.0,0.0,0.05,inf,-3.5
05000,Arkansas,-0.15,0.31,-0.18,-0.03,0.41,0.72,0.68,-0.11,-0.07,-1.51,-0.24,0.24,0.31,-0.43,-0.36,0.56,-0.03,0.03,-0.13,0.22,-1.9166666666666667,-2.466666666666667
06000,California,0.0,0.05,-0.01,0.02,-0.01,0.03,-0.01,0.02,0.17,0.04,-0.06,0.03,-0.17,-0.02,0.02,0.01,0.04,0.09,-0.08,0.05,-1.8333333333333335,inf
08000,Colorado,-0.08,-0.08,-0.01,0.01,-0.11,0.01,0.0,0.08,0.13,0.25,-0.02,-0.07,-0.12,-0.07,0.02,0.08,-0.08,0.04,0.04,0.04,-3.0,-1.5
09000,Connecticut,0.01,0.02,0.07,-0.03,0.08,0.07,-0.1,0.15,0.1,-0.1,-0.17,-0.06,-0.06,0.01,-0.02,0.06,-0.06,0.03,-0.03,0.02,-1.1176470588235294,1.0
10000,Delaware,0.02,-0.02,-0.28,0.33,-0.18,-0.14,0.02,0.16,0.11,0.15,-0.03,0.2,-0.25,0.0,-0.05,0.16,0.01,-0.01,-0.11,0.07,-3.3333333333333335,2.5000000000000004
11000,District of Columbia,0.0,0.01,0.0,-0.02,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,inf,inf
12000,Florida,0.03,0.02,-0.02,-0.05,-0.06,0.03,0.07,-0.08,0.13,0.01,-0.09,-0.03,-0.02,0.02,-0.06,0.0,0.05,0.03,0.01,-0.01,-0.8888888888888888,-1.3333333333333335
13000,Georgia,0.72,0.27,-0.08,-0.07,-0.32,0.13,0.09,0.17,-0.4,0.07,-0.25,0.21,-0.29,0.1,-0.15,-0.08,0.08,-0.08,0.09,0.09,-1.3599999999999999,-0.875
15000,Hawaii,-0.01,0.02,-0.09,0.01,0.05,0.08,-0.13,0.11,0.09,-0.1,0.0,-0.01,-0.02,-0.03,0.02,0.03,0.03,0.03,0.02,0.01,inf,-2.0
16000,Idaho,-0.4,0.4,0.01,-0.34,0.01,-0.11,-0.29,-0.11,0.51,0.2,-0.01,0.05,-0.1,0.19,0.07,-0.01,0.05,0.11,-0.27,0.25,-26.0,-1.625
17000,Illinois,-0.07,0.04,0.08,-0.12,-0.11,0.18,-0.14,-0.02,0.02,0.0,0.03,0.03,-0.05,-0.12,-0.15,0.11,-0.01,0.09,-0.06,0.06,1.0,-1.857142857142857
18000,Indiana,-0.06,-0.27,0.24,-0.04,0.3,-0.01,0.04,-0.28,0.16,0.25,-0.07,-0.14,-0.1,0.14,-0.21,0.06,0.25,0.16,-0.02,0.07,-2.0,-2.166666666666667
19000,Iowa,-0.47,-0.02,-0.18,-0.03,-0.26,0.9,0.17,-0.5,0.28,0.53,0.05,0.09,-0.46,-0.44,-0.32,0.08,-0.19,0.62,-0.14,0.15,1.9999999999999996,-1.3191489361702127
20000,Kansas,0.05,-0.02,0.05,0.23,-0.22,0.33,-0.07,-0.05,0.38,-0.02,0.35,-0.2,0.11,0.04,-0.15,-0.08,0.2,0.19,-0.19,0.27,-0.22857142857142843,4.4
21000,Kentucky,-0.38,-0.57,-1.27,-0.21,-0.06,-0.19,0.09,0.07,0.31,0.31,-0.01,-0.1,0.01,0.23,0.24,0.01,-0.03,-0.18,-0.18,0.15,-16.0,-1.3947368421052633
22000,Louisiana,0.05,-0.18,0.06,-0.18,0.31,0.05,0.28,-0.15,0.21,-0.1,-0.17,0.13,0.14,-0.1,0.19,-0.08,-0.28,0.12,-0.06,0.01,-1.0588235294117647,-0.8
23000,Maine,0.06,-0.29,0.26,-0.08,-0.01,0.24,-0.04,0.13,0.32,0.16,-0.18,-0.04,-0.03,-0.02,0.08,-0.27,0.0,-0.09,-0.06,0.08,-1.4444444444444444,0.3333333333333335
24000,Maryland,-0.26,0.06,-0.08,0.02,0.02,-0.12,0.11,0.02,0.16,0.1,-0.03,-0.09,-0.09,-0.11,0.0,0.03,0.06,-0.18,-0.06,0.03,-2.0,-1.1153846153846154
