GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,% Change 2009 to 2018,% Change 2008 to 2017,% Change 1998 to 2017
00000,United States*,0.1,0.2,0.22,-0.13,0.1,0.1,0.17,0.01,0.1,-0.02,-0.08,-0.22,0.14,0.13,0.09,0.08,0.14,0.1,0.05,0.09,0.11,-1.5,-2.125,-0.10000000000000009
01000,Alabama,0.12,0.13,0.05,-0.02,0.03,0.06,0.05,0.13,0.08,-0.02,-0.1,-0.11,0.08,0.08,0.1,0.03,0.09,0.05,0.01,0.03,0.12,-2.090909090909091,-1.3,-0.75
02000,Alaska,0.05,0.19,0.21,-0.02,0.25,0.1,0.05,-0.04,0.07,0.04,0.16,-0.26,0.03,0.0,0.06,0.06,0.06,0.06,-0.1,-0.17,0.04,-1.1538461538461537,-2.0625,-4.4
04000,Arizona,0.22,0.18,0.35,-0.2,0.13,0.22,0.38,0.4,0.2,0.0,-0.42,-0.34,0.03,0.17,0.22,0.13,-0.14,0.12,0.06,0.27,0.17,-1.5,-1.6428571428571428,0.2272727272727273
05000,Arkansas,0.11,0.14,0.08,-0.08,0.07,0.08,0.17,0.06,0.09,-0.05,-0.08,-0.08,0.17,0.07,0.02,-0.02,0.08,0.07,0.04,0.06,0.02,-1.25,-1.75,-0.4545454545454546
06000,California,0.2,0.19,0.28,-0.05,0.19,0.25,0.2,-0.1,0.11,-0.13,-0.07,-0.3,0.09,0.18,0.09,0.08,0.31,0.15,0.13,0.09,0.18,-1.6,-2.2857142857142856,-0.55
08000,Colorado,0.14,0.28,0.31,-0.08,0.09,-0.08,0.09,0.25,0.09,0.0,-0.01,-0.3,0.13,0.18,0.06,0.42,0.2,0.32,0.07,0.16,0.2,-1.6666666666666667,-17.0,0.1428571428571428
09000,Connecticut,-0.07,0.16,0.21,-0.09,0.09,0.06,0.05,-0.03,-0.01,-0.14,0.01,0.01,0.08,0.09,0.15,-0.1,-0.16,0.07,0.07,0.04,0.07,6.000000000000001,3.0,-1.5714285714285714
10000,Delaware,0.27,0.13,0.24,-0.14,0.11,0.11,0.08,-0.21,0.06,-0.18,-0.04,-0.22,0.2,0.15,-0.1,-0.09,0.04,0.02,0.01,0.01,0.08,-1.3636363636363638,-1.25,-0.962962962962963
11000,District of Columbia,0.07,0.27,0.38,-0.01,0.07,0.1,0.27,0.1,-0.03,0.0,-0.05,-0.12,0.26,-0.05,0.25,0.09,0.09,0.15,-0.09,0.19,0.13,-2.0833333333333335,-4.8,1.714285714285714
