STATE,AVERAGE DEATH RATE,TOTAL DEATHS,2005 DEATH RATE,2005 DEATH COUNT,2014 DEATH RATE,2014 DEATH COUNT,2015 DEATH RATE,2015 DEATH COUNT,2016 DEATH RATE,2016 DEATH COUNT,2017 DEATH RATE,2017 DEATH COUNT,14 - 17 DEATH RATE CHANGE,14 - 17 DEATH RATE % CHANGE,14 - 17 DEATHS % CHANGE
AK,13.3,495,9.0,52,10.7,84,15.4,114,16.3,124,15.1,121,4.4,0.4112149532710281,0.44047619047619047
AL,11.98,3414,9.7,478,11.8,683,12.5,716,13.2,781,12.7,756,0.8999999999999986,0.07627118644067776,0.10688140556368952
AR,10.620000000000001,1833,7.5,228,10.4,369,12.1,421,11.8,416,11.3,399,0.9000000000000004,0.08653846153846168,0.08130081300813008
AZ,14.24,5305,12.7,757,14.3,1084,15.0,1149,14.9,1178,14.3,1137,0.0,0.0,0.04889298892988925
CA,12.02,24872,11.1,3822,12.0,5013,12.7,5425,12.2,5287,12.1,5325,0.09999999999999964,0.008333333333333304,0.06223818073010179
CO,12.16,3530,9.5,436,12.7,743,12.2,735,12.4,751,14.0,865,1.3000000000000007,0.10236220472440949,0.16419919246298798
CT,8.360000000000001,1818,7.2,283,8.5,375,8.4,365,8.6,388,9.1,407,0.5999999999999996,0.07058823529411762,0.08533333333333326
DE,8.52,486,7.3,67,9.3,110,9.6,111,7.5,92,8.9,106,-0.40000000000000036,-0.043010752688172116,-0.036363636363636376
FL,11.34,14584,10.1,2139,11.8,3037,11.7,3084,11.9,3226,11.2,3098,-0.6000000000000014,-0.05084745762711873,0.020085610800131715
GA,8.919999999999998,4782,8.2,689,8.6,935,9.0,1003,9.0,1009,9.8,1146,1.200000000000001,0.13953488372093026,0.2256684491978609
HI,7.260000000000001,604,6.7,96,6.9,114,8.1,138,7.1,124,7.5,132,0.5999999999999996,0.08695652173913038,0.1578947368421053
IA,8.620000000000001,1542,6.6,215,8.8,319,9.1,328,9.4,343,9.2,337,0.3999999999999986,0.04545454545454519,0.056426332288401326
ID,10.44,928,8.9,126,11.0,197,12.2,218,9.9,190,10.2,197,-0.8000000000000007,-0.07272727272727275,0.0
IL,8.879999999999999,6395,7.8,1002,9.2,1323,8.7,1289,9.4,1374,9.3,1407,0.10000000000000142,0.010869565217391353,0.06349206349206349
IN,10.44,3905,7.6,496,10.4,781,11.4,859,11.2,869,11.6,900,1.1999999999999993,0.11538461538461542,0.15236875800256078
KS,9.0,1432,6.9,200,8.9,286,9.7,313,9.8,316,9.7,317,0.7999999999999989,0.08988764044943798,0.10839160839160833
KY,11.46,2970,8.5,380,11.5,604,12.6,657,11.9,647,12.8,682,1.3000000000000007,0.11304347826086958,0.12913907284768222
LA,9.64,2510,8.2,380,9.8,515,10.5,553,9.7,519,10.0,543,0.1999999999999993,0.020408163265306145,0.05436893203883497
MA,8.360000000000001,3319,7.2,505,8.4,671,8.2,661,8.8,716,9.2,766,0.7999999999999989,0.09523809523809512,0.14157973174366623
MD,6.959999999999999,2364,7.9,459,6.9,484,6.7,471,6.7,466,6.6,484,-0.3000000000000007,-0.0434782608695653,0.0
ME,9.66,856,7.2,116,9.0,161,11.1,195,10.6,188,10.4,196,1.4000000000000004,0.15555555555555567,0.21739130434782616
