Type,Type Code,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
STATE,1,AK,Alaska,Does Not Apply,250235.0,90922.0,36.0,9.84,18.84,1112,885.0,999.0,1289.0,1832.0,2204.0,91861.0,27558.0,53292.0,1332.0,689.0,512,980.0,334,35387.0,39951.0,51576.0,73268.0,88160.0,17.01,19.21,24.8,35.23,42.38,69.0,78.0,101.0,143.0,172.0,36.0,41.0,53.0,75.0,90.0
NONMETRO,2,AK,Alaska,Does Not Apply,79124.0,27465.0,35.0,9.84,22.96,1112,872.0,973.0,1225.0,1636.0,1935.0,81165.0,24350.0,52514.0,1313.0,609.0,512,1194.0,334,34873.0,38900.0,48986.0,65434.0,77403.0,16.77,18.7,23.55,31.46,37.21,68.0,76.0,96.0,128.0,151.0,29.0,33.0,41.0,55.0,65.0
METRO,3,AK,Alaska,Anchorage HMFA,104969.0,41702.0,40.0,9.84,17.82,1112,923.0,1035.0,1337.0,1945.0,2355.0,99500.0,29850.0,55797.0,1395.0,746.0,512,927.0,334,36920.0,41400.0,53480.0,77800.0,94200.0,17.75,19.9,25.71,37.4,45.29,72.0,81.0,105.0,152.0,184.0,40.0,45.0,58.0,84.0,102.0
METRO,3,AK,Alaska,Fairbanks MSA,35303.0,14298.0,41.0,9.84,16.3,1112,873.0,1029.0,1368.0,1990.0,2409.0,93000.0,27900.0,52723.0,1318.0,698.0,512,848.0,334,34920.0,41160.0,54720.0,79600.0,96360.0,16.79,19.79,26.31,38.27,46.33,68.0,80.0,107.0,156.0,188.0,41.0,49.0,65.0,94.0,114.0
METRO,3,AK,Alaska,Matanuska-Susitna Borough HMFA,30839.0,7457.0,24.0,9.84,11.11,1112,740.0,835.0,1111.0,1616.0,1957.0,92000.0,27600.0,43235.0,1081.0,690.0,512,578.0,334,29600.0,33400.0,44440.0,64640.0,78280.0,14.23,16.06,21.37,31.08,37.63,58.0,65.0,87.0,126.0,153.0,51.0,58.0,77.0,112.0,135.0
COUNTY,4,AK,Alaska,Aleutians East Borough,788.0,345.0,44.0,9.84,25.02,1112,751.0,915.0,1051.0,1318.0,1431.0,67400.0,20220.0,65189.0,1630.0,506.0,512,1301.0,334,30040.0,36600.0,42040.0,52720.0,57240.0,14.44,17.6,20.21,25.35,27.52,59.0,72.0,82.0,103.0,112.0,23.0,28.0,32.0,41.0,44.0
COUNTY,4,AK,Alaska,Aleutians West Census Area,1186.0,850.0,72.0,9.84,27.77,1112,1038.0,1224.0,1628.0,2041.0,2505.0,94300.0,28290.0,87275.0,2182.0,707.0,512,1444.0,334,41520.0,48960.0,65120.0,81640.0,100200.0,19.96,23.54,31.31,39.25,48.17,81.0,96.0,127.0,160.0,196.0,29.0,34.0,45.0,57.0,69.0
COUNTY,4,AK,Alaska,Anchorage Municipality,104969.0,41702.0,40.0,9.84,17.82,1112,923.0,1035.0,1337.0,1945.0,2355.0,99500.0,29850.0,55797.0,1395.0,746.0,512,927.0,334,36920.0,41400.0,53480.0,77800.0,94200.0,17.75,19.9,25.71,37.4,45.29,72.0,81.0,105.0,152.0,184.0,40.0,45.0,58.0,84.0,102.0
COUNTY,4,AK,Alaska,Bethel Census Area,4555.0,1634.0,36.0,9.84,20.09,1112,1058.0,1290.0,1481.0,1857.0,2017.0,52600.0,15780.0,51670.0,1292.0,395.0,512,1045.0,334,42320.0,51600.0,59240.0,74280.0,80680.0,20.35,24.81,28.48,35.71,38.79,83.0,101.0,116.0,145.0,158.0,41.0,49.0,57.0,71.0,77.0
COUNTY,4,AK,Alaska,Bristol Bay Borough,360.0,163.0,45.0,9.84,19.42,1112,892.0,949.0,1248.0,1610.0,1700.0,94900.0,28470.0,68857.0,1721.0,712.0,512,1010.0,334,35680.0,37960.0,49920.0,64400.0,68000.0,17.15,18.25,24.0,30.96,32.69,70.0,74.0,98.0,126.0,133.0,35.0,38.0,49.0,64.0,67.0
