Location,2013,2014,2015,2016,2017
United States,0.638,0.6409999999999999,0.645,0.648,0.654
Alabama,0.682,0.67,0.687,0.695,0.7020000000000001
Alaska,0.6609999999999999,0.648,0.672,0.667,0.667
Arizona,0.618,0.64,0.653,0.632,0.648
Arkansas,0.6990000000000001,0.706,0.695,0.682,0.705
California,0.601,0.597,0.604,0.61,0.609
Colorado,0.564,0.574,0.5660000000000001,0.581,0.5870000000000001
Connecticut,0.625,0.604,0.616,0.618,0.632
Delaware,0.6459999999999999,0.674,0.6679999999999999,0.68,0.685
District of Columbia,0.5379999999999999,0.5489999999999999,0.544,0.534,0.539
Florida,0.628,0.622,0.6409999999999999,0.632,0.6409999999999999
Georgia,0.657,0.657,0.655,0.6579999999999999,0.653
Hawaii,0.5539999999999999,0.581,0.57,0.5760000000000001,0.588
Idaho,0.649,0.657,0.652,0.645,0.659
Illinois,0.647,0.638,0.662,0.65,0.6579999999999999
Indiana,0.6729999999999999,0.665,0.665,0.672,0.68
Iowa,0.67,0.669,0.667,0.687,0.701
Kansas,0.653,0.66,0.68,0.667,0.672
Kentucky,0.6729999999999999,0.667,0.672,0.691,0.6779999999999999
Louisiana,0.674,0.6890000000000001,0.6920000000000001,0.6920000000000001,0.7
Maine,0.648,0.645,0.665,0.652,0.6509999999999999
Maryland,0.6409999999999999,0.649,0.65,0.6459999999999999,0.662
Massachusetts,0.58,0.589,0.597,0.602,0.614
Michigan,0.662,0.6559999999999999,0.662,0.675,0.672
Minnesota,0.611,0.6409999999999999,0.629,0.648,0.649
Mississippi,0.693,0.7070000000000001,0.701,0.713,0.6990000000000001
Missouri,0.655,0.6559999999999999,0.6629999999999999,0.672,0.6779999999999999
Montana,0.614,0.63,0.61,0.627,0.622
Nebraska,0.655,0.667,0.67,0.685,0.69
Nevada,0.649,0.635,0.647,0.623,0.657
New Hampshire,0.618,0.636,0.636,0.635,0.649
New Jersey,0.628,0.631,0.634,0.638,0.626
New Mexico,0.627,0.649,0.645,0.649,0.652
New York,0.613,0.611,0.595,0.608,0.613
North Carolina,0.6609999999999999,0.6559999999999999,0.6579999999999999,0.6679999999999999,0.669
North Dakota,0.6759999999999999,0.688,0.67,0.6809999999999999,0.6940000000000001
Ohio,0.6509999999999999,0.667,0.665,0.6629999999999999,0.68
Oklahoma,0.679,0.682,0.6890000000000001,0.688,0.706
Oregon,0.599,0.617,0.645,0.626,0.645
Pennsylvania,0.645,0.6409999999999999,0.662,0.654,0.6709999999999999
Rhode Island,0.6459999999999999,0.624,0.627,0.637,0.649
South Carolina,0.665,0.67,0.662,0.674,0.6809999999999999
South Dakota,0.67,0.652,0.645,0.669,0.677
Tennessee,0.684,0.6709999999999999,0.687,0.6859999999999999,0.6829999999999999
Texas,0.6609999999999999,0.6779999999999999,0.687,0.684,0.6940000000000001
Utah,0.5920000000000001,0.595,0.597,0.604,0.606
Vermont,0.619,0.602,0.599,0.617,0.626
Virginia,0.64,0.647,0.6409999999999999,0.655,0.6629999999999999
Washington,0.614,0.634,0.625,0.635,0.622
West Virginia,0.688,0.696,0.711,0.7090000000000001,0.7170000000000001
Wisconsin,0.665,0.674,0.66,0.662,0.6729999999999999
Wyoming,0.644,0.6459999999999999,0.654,0.642,0.647
Guam,0.635,0.634,0.6709999999999999,0.645,0.6709999999999999
Puerto Rico,0.6659999999999999,0.659,0.67,0.665,0.6829999999999999
U.S. Virgin Islands,0.0,0.0,0.0,0.652,0.652
