Region Name,Vineyards,Wineries,Tasting Rooms,State,County
Adelaida District,42,15,16,California,San Luis Obispo
Alexander Valley,241,41,23,California,Sonoma
Alta Mesa,1,0,0,California,"Sacramento, San Joaquin"
Ancient Lakes of Columbia Valley,0,0,0,Washington,"Douglas, Grant, Kittitas"
Anderson Valley,39,7,5,California,Mendocino
Annapolis,10,0,0,California,Sonoma
Antelope Valley of the California High Desert,0,0,0,California,"Kern, Los Angeles"
Applegate Valley,37,17,18,Oregon,"Jackson, Josephine"
Arroyo Grande Valley,10,4,2,California,San Luis Obispo
Arroyo Seco,37,0,0,California,Monterey
Atlas Peak,12,1,0,California,Napa
Ballard Canyon,8,0,0,California,Santa Barbara
Bell Mountain,1,0,0,Texas,Gillespie
Ben Lomond Mountain,3,2,2,California,Santa Cruz
Benmore Valley,0,0,0,California,Lake
Bennett Valley,35,2,1,California,Sonoma
Big Valley District-Lake County,15,0,0,California,Lake
Borden Ranch,1,0,0,California,"Amador, Sacramento, San Joaquin"
Calistoga,38,1,0,California,Napa
Capay Valley,1,0,0,California,Yolo
Carmel Valley,2,0,0,California,Monterey
CaShenandoah Valley,7,3,3,California,"Amador, El Dorado"
Central Coast,637,122,118,California,"Alameda, Contra Costa, Fresno, Kern, Kings, Merced, Monterey, San Benito, San Francisco, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz"
Chalk Hill,40,6,3,California,Sonoma
Chalone,3,0,0,California,"Monterey, San Benito"
Chehalem Mountains,182,53,34,Oregon,"Clackamas, Washington, Yamhill"
Chiles Valley,2,0,0,California,Napa
Cienega Valley,4,0,0,California,San Benito
Clarksburg,18,3,3,California,"Sacramento, Solano, Yolo"
Clear Lake,42,0,0,California,Lake
Clements Hills,6,1,0,California,"Amador, Calaveras, San Joaquin"
Cole Ranch,0,0,0,California,Mendocino
Columbia Gorge,22,9,10,"Oregon, Washington","Hood River, Wasco, Klickitat, Skamania"
Columbia Valley,285,40,41,"Idaho, Oregon, Washington","Nez Perce, Gilliam, Morrow, Sherman, Umatilla, Wasco, Adams, Asotin, Benton, Chelan, Columbia, Douglas, Franklin, Garfield, Grant, Kittitas, Klickitat, Lincoln, Walla Walla, Whitman, Yakima, Ferry, Okanogan, Stevens"
Coombsville,24,4,3,California,Napa
Cosumnes River,2,0,0,California,"Sacramento, San Joaquin"
Covelo,0,0,0,California,Mendocino
Creston District,22,1,1,California,San Luis Obispo
Cucamonga Valley,1,3,4,California,"Riverside, San Bernardino"
Diablo Grande,0,0,0,California,Stanislaus
Diamond Mountain District,8,1,1,California,Napa
Dos Rios,0,0,0,California,Mendocino
Dry Creek Valley,211,56,43,California,Sonoma
Dundee Hills,98,28,32,Oregon,Yamhill
Dunnigan Hills,3,0,0,California,Yolo
Edna Valley,20,4,3,California,San Luis Obispo
El Dorado,42,1,1,California,"Amador, El Dorado, Placer"
El Pomar District,27,5,4,California,San Luis Obispo
Elkton Oregon,6,2,3,Oregon,Douglas
Eola - Amity Hills,124,33,26,Oregon,"Polk, Yamhill"
Escondido Valley,0,0,0,Texas,Pecos
Fair Play,28,1,1,California,"Amador, El Dorado"
Fiddletown,2,0,0,California,Amador
Fort Ross-Seaview,23,3,2,California,Sonoma
Fredericksburg in the Texas Hill Country,1,0,0,Texas,Gillespie
Freestone-Occidental,24,2,1,California,Sonoma
Grand Valley,107,19,19,Colorado,Mesa
Green Valley,129,11,8,California,Sonoma
Guenoc Valley,2,0,0,California,Lake
Hames Valley,4,0,0,California,Monterey
Happy Canyon,6,0,0,California,Santa Barbara
High Valley,0,0,0,California,Lake
Howell Mountain,16,0,0,California,Napa
Inwood Valley,0,0,0,California,Shasta
Jahant,7,0,0,California,"Sacramento, San Joaquin"
Kelsey Bench-Lake County,9,0,0,California,Lake
Knights Valley,35,2,0,California,Sonoma
Leona Valley,0,0,0,California,Los Angeles
Lime Kiln Valley,1,0,0,California,San Benito
Livermore Valley,42,4,6,California,"Alameda, Contra Costa"
Lodi,43,4,2,California,"Amador, Calaveras, El Dorado, Sacramento, San Joaquin, Stanislaus"
Los Carneros,102,11,5,California,"Napa, Sonoma"
Madera,0,0,0,California,"Fresno, Madera, Merced"
Malibu Coast,2,0,0,California,"Los Angeles, Ventura"
Malibu-Newton Canyon,1,0,0,California,Los Angeles
Manton Valley,2,0,0,California,"Shasta, Tehama"
McDowell Valley,2,0,0,California,Mendocino
McMinnville,16,4,5,Oregon,Yamhill
Mendocino,90,11,10,California,Mendocino
Mendocino Ridge,17,4,1,California,Mendocino
Merritt Island,4,1,1,California,"Sacramento, Yolo"
Mesilla Valley,0,0,0,"New Mexico, Texas","Dona Ana, El Paso"
Mokelumne River,26,3,2,California,"Sacramento, San Joaquin"
Monterey,150,4,3,California,"Monterey, San Benito, San Luis Obispo, Santa Cruz"
Moon Mountain District Sonoma County,43,6,2,California,Sonoma
Mount Veeder,17,0,0,California,Napa
Mt Harlan,7,0,0,California,"Monterey, San Benito"
Napa Valley,462,50,40,California,Napa
North Coast,2102,317,232,California,"Lake, Marin, Mendocino, Napa, Solano, Sonoma"
North Yuba,1,0,0,California,Yuba
Northern Sonoma,939,184,135,California,Sonoma
Oak Knoll District,32,4,3,California,Napa
Oakville,52,3,3,California,Napa
Old Mission Peninsula,6,3,3,Michigan,Grand Traverse
Pacheco Pass,1,0,0,California,"San Benito, Santa Clara"
Paicines,5,0,0,California,San Benito
Paso Robles,254,46,43,California,"Kings, Monterey, San Luis Obispo"
Paso Robles Estrella District,62,3,2,California,"Monterey, San Luis Obispo"
Paso Robles Geneseo District,22,2,2,California,San Luis Obispo
Paso Robles Highlands District,2,0,0,California,San Luis Obispo
Paso Robles Willow Creek District,39,12,11,California,San Luis Obispo
Petaluma Gap,89,9,7,California,"Marin, Sonoma"
Pine Mountain-Cloverdale Peak,9,1,0,California,"Mendocino, Sonoma"
Potter Valley,3,0,0,California,Mendocino
Ramona Valley,3,1,1,California,San Diego
Red Hills Lake County,12,0,0,California,Lake
Red Mountain,54,9,10,Washington,Benton
Redwood Valley,11,1,1,California,Mendocino
Ribbon Ridge,36,11,10,Oregon,Yamhill
River Junction,1,0,0,California,San Joaquin
Rockpile,8,0,0,California,Sonoma
Rogue Valley,89,33,37,Oregon,"Douglas, Jackson, Josephine"
Russian River Valley,574,92,68,California,Sonoma
Rutherford,66,3,3,California,Napa
Saddle Rock-Malibu,1,0,0,California,Los Angeles
Saint Helena,48,5,3,California,Napa
Salado Creek,0,0,0,California,Stanislaus
San Antonio Valley,9,0,0,California,"Monterey, San Luis Obispo"
San Benito,10,0,0,California,San Benito
San Bernabe,2,0,0,California,Monterey
San Francisco Bay,75,30,34,California,"Solano, Alameda, Contra Costa, San Benito, San Francisco, San Mateo, Santa Clara, Santa Cruz"
San Juan Creek,5,0,0,California,San Luis Obispo
San Lucas,9,0,0,California,Monterey
San Miguel District,11,0,0,California,"Monterey, San Luis Obispo"
San Pasqual Valley,1,0,0,California,San Diego
San Ysidro District,2,1,1,California,Santa Clara
Santa Clara Valley,21,15,16,California,"Alameda, San Benito, San Mateo, Santa Clara"
Santa Cruz Mountains,87,51,45,California,"San Mateo, Santa Clara, Santa Cruz"
Santa Lucia Highlands,45,0,0,California,Monterey
Santa Margarita Ranch,1,2,2,California,San Luis Obispo
Santa Maria Valley,14,0,0,California,"San Luis Obispo, Santa Barbara"
Santa Ynez Valley,70,5,7,California,Santa Barbara
Sebastopol Hills,53,0,0,California,Sonoma
Seiad Valley,0,0,0,California,Siskiyou
Sierra Foothills,85,6,11,California,"Amador, Butte, Calaveras, El Dorado, Nevada, Placer, Sacramento, Tuolumne, Yuba, Madera, Mariposa, Merced, San Joaquin, Stanislaus"
Sierra Pelona Valley,0,0,0,California,Los Angeles
Sloughhouse,0,0,0,California,"Amador, El Dorado, Sacramento"
Snake River Valley,40,31,26,"Idaho, Oregon","Ada, Boise, Canyon, Elmore, Gem, Gooding, Jerome, Owyhee, Payette, Twin Falls, Washington, Malheur, Adams, Valley, Baker, Union"
Solano County Green Valley,4,0,0,California,"Napa, Solano"
Sonoma Coast,775,115,85,California,Sonoma
Sonoma Mountain,37,1,1,California,Sonoma
Sonoma Valley,316,47,33,California,Sonoma
South Coast,28,10,9,California,"Los Angeles, Orange, Riverside, San Diego, San Bernardino"
Southern Oregon,134,52,59,Oregon,"Douglas, Jackson, Josephine, Lane"
Spring Mountain District,19,0,0,California,Napa
Sta. Rita Hills,35,2,3,California,Santa Barbara
Stags Leap District,37,15,13,California,Napa
Suisun Valley,6,0,0,California,"Napa, Solano"
Temecula Valley,7,4,3,California,"Riverside, San Diego"
Templeton Gap District,23,5,4,California,San Luis Obispo
Texas Davis Mountains,0,0,0,Texas,Jeff Davis
