"SAGDP11N Contributions to percent change in real GDP 1/"
"Contributions to percent change in real GDP: Arts, entertainment, recreation, accommodation, and food services (Percentage points)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"00000","United States*",0.10,0.20,0.22,-0.13,0.10,0.10,0.17,0.01,0.10,-0.02,-0.08,-0.22,0.14,0.13,0.09,0.08,0.14,0.10,0.05,0.09,0.11
"01000","Alabama",0.12,0.13,0.05,-0.02,0.03,0.06,0.05,0.13,0.08,-0.02,-0.10,-0.11,0.08,0.08,0.10,0.03,0.09,0.05,0.01,0.03,0.12
"02000","Alaska",0.05,0.19,0.21,-0.02,0.25,0.10,0.05,-0.04,0.07,0.04,0.16,-0.26,0.03,0.00,0.06,0.06,0.06,0.06,-0.10,-0.17,0.04
"04000","Arizona",0.22,0.18,0.35,-0.20,0.13,0.22,0.38,0.40,0.20,0.00,-0.42,-0.34,0.03,0.17,0.22,0.13,-0.14,0.12,0.06,0.27,0.17
"05000","Arkansas",0.11,0.14,0.08,-0.08,0.07,0.08,0.17,0.06,0.09,-0.05,-0.08,-0.08,0.17,0.07,0.02,-0.02,0.08,0.07,0.04,0.06,0.02
"06000","California",0.20,0.19,0.28,-0.05,0.19,0.25,0.20,-0.10,0.11,-0.13,-0.07,-0.30,0.09,0.18,0.09,0.08,0.31,0.15,0.13,0.09,0.18
"08000","Colorado",0.14,0.28,0.31,-0.08,0.09,-0.08,0.09,0.25,0.09,0.00,-0.01,-0.30,0.13,0.18,0.06,0.42,0.20,0.32,0.07,0.16,0.20
"09000","Connecticut",-0.07,0.16,0.21,-0.09,0.09,0.06,0.05,-0.03,-0.01,-0.14,0.01,0.01,0.08,0.09,0.15,-0.10,-0.16,0.07,0.07,0.04,0.07
"10000","Delaware",0.27,0.13,0.24,-0.14,0.11,0.11,0.08,-0.21,0.06,-0.18,-0.04,-0.22,0.20,0.15,-0.10,-0.09,0.04,0.02,0.01,0.01,0.08
"11000","District of Columbia",0.07,0.27,0.38,-0.01,0.07,0.10,0.27,0.10,-0.03,0.00,-0.05,-0.12,0.26,-0.05,0.25,0.09,0.09,0.15,-0.09,0.19,0.13
"12000","Florida",0.06,0.27,0.27,-0.21,0.03,0.34,0.70,0.19,0.14,-0.06,-0.01,-0.37,0.41,0.26,-0.05,-0.11,0.11,0.19,0.12,0.07,0.15
"13000","Georgia",0.16,0.19,0.21,-0.08,0.02,0.09,0.07,0.07,0.08,-0.11,-0.13,-0.20,0.09,0.14,0.06,0.04,0.16,-0.06,-0.04,0.10,0.07
"15000","Hawaii",-0.02,0.18,0.87,-0.89,0.32,0.62,0.98,0.21,0.30,-0.46,-0.87,-1.24,0.29,0.54,0.52,0.52,-0.20,0.34,-0.10,0.67,0.17
"16000","Idaho",0.07,0.22,0.21,-0.07,0.16,0.02,0.05,0.09,0.19,0.09,-0.08,-0.29,0.16,-0.03,0.05,0.10,0.13,0.19,0.32,0.28,0.24
"17000","Illinois",0.04,0.22,0.18,-0.06,0.05,0.00,-0.13,-0.04,0.16,0.15,-0.04,-0.26,0.09,0.10,0.15,0.04,0.16,0.26,-0.02,0.05,0.06
"18000","Indiana",0.13,0.20,0.18,-0.10,0.01,0.10,0.14,-0.04,0.05,-0.11,-0.07,-0.18,0.10,0.03,0.16,0.02,0.10,0.03,0.02,0.02,0.06
