"SAGDP11N Contributions to percent change in real GDP 1/"
"Contributions to percent change in real GDP: Food and beverage and tobacco product manufacturing (Percentage points)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"00000","United States*",-0.01,0.02,-0.02,0.02,-0.09,0.05,0.03,0.00,0.15,0.01,-0.07,0.03,-0.09,-0.04,-0.04,0.03,0.00,0.05,-0.05,0.06,"(NA)"
"01000","Alabama",0.02,0.05,-0.03,0.17,-0.06,0.03,0.04,0.01,0.01,0.13,-0.07,-0.03,-0.23,-0.04,0.00,0.10,-0.03,-0.03,-0.02,0.03,"(NA)"
"02000","Alaska",0.00,-0.21,-0.36,0.00,-0.14,0.10,0.22,0.11,0.32,0.09,-0.18,0.15,-0.35,-0.11,-0.01,0.22,-0.03,0.39,-0.26,0.01,"(NA)"
"04000","Arizona",-0.02,0.09,0.04,-0.04,0.03,0.03,-0.06,-0.02,0.12,0.10,0.00,-0.06,-0.04,0.02,-0.04,-0.01,0.06,0.00,0.00,0.05,"(NA)"
"05000","Arkansas",-0.15,0.31,-0.18,-0.03,0.41,0.72,0.68,-0.11,-0.07,-1.51,-0.24,0.24,0.31,-0.43,-0.36,0.56,-0.03,0.03,-0.13,0.22,"(NA)"
"06000","California",0.00,0.05,-0.01,0.02,-0.01,0.03,-0.01,0.02,0.17,0.04,-0.06,0.03,-0.17,-0.02,0.02,0.01,0.04,0.09,-0.08,0.05,"(NA)"
"08000","Colorado",-0.08,-0.08,-0.01,0.01,-0.11,0.01,0.00,0.08,0.13,0.25,-0.02,-0.07,-0.12,-0.07,0.02,0.08,-0.08,0.04,0.04,0.04,"(NA)"
"09000","Connecticut",0.01,0.02,0.07,-0.03,0.08,0.07,-0.10,0.15,0.10,-0.10,-0.17,-0.06,-0.06,0.01,-0.02,0.06,-0.06,0.03,-0.03,0.02,"(NA)"
"10000","Delaware",0.02,-0.02,-0.28,0.33,-0.18,-0.14,0.02,0.16,0.11,0.15,-0.03,0.20,-0.25,0.00,-0.05,0.16,0.01,-0.01,-0.11,0.07,"(NA)"
"11000","District of Columbia",0.00,0.01,0.00,-0.02,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,"(NA)"
"12000","Florida",0.03,0.02,-0.02,-0.05,-0.06,0.03,0.07,-0.08,0.13,0.01,-0.09,-0.03,-0.02,0.02,-0.06,0.00,0.05,0.03,0.01,-0.01,"(NA)"
